time,flow,temp
2016-01-27,1.634,NA
2016-01-28,1.574,NA
2016-01-29,1.504,NA
2016-01-30,1.587,NA
2016-01-31,8.494,NA
2016-02-01,9.487,NA
2016-02-02,3.501,NA
2016-02-03,3.521,NA
2016-02-04,3.601,NA
2016-02-05,3.991,NA
2016-02-06,3.411,NA
2016-02-07,3.090,NA
2016-02-08,2.511,NA
2016-02-09,2.411,NA
2016-02-10,2.411,NA
2016-02-11,2.271,NA
2016-02-12,2.264,NA
2016-02-13,2.038,NA
2016-02-14,1.783,NA
2016-02-15,1.740,NA
2016-02-16,1.514,NA
2016-02-17,1.597,NA
2016-02-18,1.401,NA
2016-02-19,1.331,NA
2016-02-20,1.116,NA
2016-02-21,2.521,NA
2016-02-22,1.931,NA
2016-02-23,1.857,NA
2016-02-24,2.113,NA
2016-02-25,2.273,NA
2016-02-26,1.746,NA
2016-02-27,1.520,NA
2016-02-28,1.254,NA
2016-02-29,2.227,NA
2016-03-01,10.110,NA
2016-03-02,11.520,NA
2016-03-03,9.976,NA
2016-03-04,5.004,NA
2016-03-05,4.644,NA
2016-03-06,5.292,NA
2016-03-07,4.594,NA
2016-03-08,4.154,NA
2016-03-09,3.211,NA
2016-03-10,2.710,NA
2016-03-11,2.464,NA
2016-03-12,2.404,NA
2016-03-13,2.281,NA
2016-03-14,2.148,NA
2016-03-15,2.118,NA
2016-03-16,1.717,NA
2016-03-17,1.661,NA
2016-03-18,1.423,NA
2016-03-19,1.406,NA
2016-03-20,1.316,NA
2016-03-21,1.637,NA
2016-03-22,1.318,NA
2016-03-23,1.186,NA
2016-03-24,1.166,NA
2016-03-25,1.341,NA
2016-03-26,2.221,NA
2016-03-27,1.798,NA
2016-03-28,1.578,NA
2016-03-29,2.294,NA
2016-03-30,2.811,NA
2016-03-31,3.113,NA
2016-04-01,3.805,NA
2016-04-02,2.930,NA
2016-04-03,2.631,NA
2016-04-04,2.880,NA
2016-04-05,2.395,NA
2016-04-06,2.117,NA
2016-04-07,1.921,NA
2016-04-08,2.044,NA
2016-04-09,2.177,NA
2016-04-10,2.237,NA
2016-04-11,2.074,NA
2016-04-12,1.941,NA
2016-04-13,1.848,NA
2016-04-14,1.796,NA
2016-04-15,1.991,NA
2016-04-16,1.888,NA
2016-04-17,1.880,NA
2016-04-18,4.214,NA
2016-04-19,2.554,NA
2016-04-20,1.954,NA
2016-04-21,1.611,NA
2016-04-22,1.481,NA
2016-04-23,1.411,NA
2016-04-24,1.794,NA
2016-04-25,1.706,NA
2016-04-26,1.908,NA
2016-04-27,2.566,NA
2016-04-28,2.466,NA
2016-04-29,1.693,NA
2016-04-30,1.413,NA
2016-05-01,1.180,NA
2016-05-02,1.267,NA
2016-05-03,1.064,NA
2016-05-04,1.037,NA
2016-05-05,0.854,NA
2016-05-06,0.814,NA
2016-05-07,0.774,NA
2016-05-08,0.714,NA
2016-05-09,0.694,NA
2016-05-10,0.674,NA
2016-05-11,0.674,NA
2016-05-12,0.937,NA
2016-05-13,0.884,NA
2016-05-14,1.864,NA
2016-05-15,2.004,NA
2016-05-16,1.834,NA
2016-05-17,3.658,NA
2016-05-18,1.953,NA
2016-05-19,1.886,NA
2016-05-20,2.370,NA
2016-05-21,1.397,NA
2016-05-22,0.984,NA
2016-05-23,5.062,NA
2016-05-24,6.684,NA
2016-05-25,4.685,NA
2016-05-26,2.777,NA
2016-05-27,2.158,NA
2016-05-28,3.313,NA
2016-05-29,6.527,NA
2016-05-30,11.307,NA
2016-05-31,4.623,NA
2016-06-01,4.104,NA
2016-06-02,3.401,NA
2016-06-03,6.401,NA
2016-06-04,6.436,NA
2016-06-05,9.086,NA
2016-06-06,4.133,NA
2016-06-07,2.403,NA
2016-06-08,1.963,NA
2016-06-09,11.343,NA
2016-06-10,4.683,NA
2016-06-11,3.380,NA
2016-06-12,6.637,NA
2016-06-13,3.785,NA
2016-06-14,3.034,NA
2016-06-15,2.561,NA
2016-06-16,2.010,NA
2016-06-17,3.893,NA
2016-06-18,3.924,NA
2016-06-19,7.036,NA
2016-06-20,3.947,NA
2016-06-21,2.833,NA
2016-06-22,7.506,NA
2016-06-23,4.348,NA
2016-06-24,2.805,NA
2016-06-25,2.238,NA
2016-06-26,2.466,NA
2016-06-27,2.613,NA
2016-06-28,2.773,NA
2016-06-29,2.728,NA
2016-06-30,3.000,NA
2016-07-01,2.967,NA
2016-07-02,2.887,NA
2016-07-03,3.981,NA
2016-07-04,4.684,NA
2016-07-05,3.632,NA
2016-07-06,2.323,NA
2016-07-07,2.127,NA
2016-07-08,4.799,NA
2016-07-09,3.685,NA
2016-07-10,2.561,NA
2016-07-11,2.283,NA
2016-07-12,4.958,NA
2016-07-13,9.881,NA
2016-07-14,9.388,NA
2016-07-15,4.358,NA
2016-07-16,4.408,NA
2016-07-17,3.805,NA
2016-07-18,7.156,NA
2016-07-19,4.841,NA
2016-07-20,3.153,NA
2016-07-21,2.350,NA
2016-07-22,1.933,NA
2016-07-23,2.397,NA
2016-07-24,2.200,NA
2016-07-25,6.936,NA
2016-07-26,7.114,NA
2016-07-27,4.704,NA
2016-07-28,2.748,NA
2016-07-29,2.088,NA
2016-07-30,1.926,NA
2016-07-31,1.583,NA
2016-08-01,1.623,NA
2016-08-02,1.287,NA
2016-08-03,1.084,NA
2016-08-04,0.874,NA
2016-08-05,10.671,NA
2016-08-06,5.191,NA
2016-08-07,2.391,NA
2016-08-08,1.481,NA
2016-08-09,1.691,NA
2016-08-10,3.638,NA
2016-08-11,7.001,NA
2016-08-12,7.426,NA
2016-08-13,4.782,NA
2016-08-14,3.190,NA
2016-08-15,2.440,NA
2016-08-16,1.813,NA
2016-08-17,1.378,NA
2016-08-18,1.223,NA
2016-08-19,1.090,NA
2016-08-20,1.060,NA
2016-08-21,1.370,NA
2016-08-22,1.117,NA
2016-08-23,3.245,NA
2016-08-24,2.164,NA
2016-08-25,1.773,NA
2016-08-26,1.454,NA
2016-08-27,1.166,NA
2016-08-28,0.950,NA
2016-08-29,1.030,NA
2016-08-30,1.143,NA
2016-08-31,0.897,NA
2016-09-01,0.927,NA
2016-09-02,0.904,NA
2016-09-03,7.890,NA
2016-09-04,4.538,NA
2016-09-05,2.711,NA
2016-09-06,2.433,NA
2016-09-07,2.877,NA
2016-09-08,2.847,NA
2016-09-09,2.455,NA
2016-09-10,2.250,NA
2016-09-11,2.167,NA
2016-09-12,1.424,NA
2016-09-13,1.136,NA
2016-09-14,1.033,NA
2016-09-15,1.033,NA
2016-09-16,1.146,NA
2016-09-17,1.367,NA
2016-09-18,1.394,NA
2016-09-19,5.813,NA
2016-09-20,3.291,NA
2016-09-21,1.923,NA
2016-09-22,1.357,NA
2016-09-23,1.157,NA
2016-09-24,0.944,NA
2016-09-25,0.957,NA
2016-09-26,0.761,NA
2016-09-27,1.226,NA
2016-09-28,1.093,NA
2016-09-29,0.990,NA
2016-09-30,0.960,NA
2016-10-01,1.043,NA
2016-10-02,1.063,NA
2016-10-03,0.980,NA
2016-10-04,0.877,NA
2016-10-05,0.794,NA
2016-10-06,0.784,NA
2016-10-07,0.804,NA
2016-10-08,0.784,NA
2016-10-09,0.774,NA
2016-10-10,0.844,NA
2016-10-11,1.084,NA
2016-10-12,1.084,NA
2016-10-13,0.864,NA
2016-10-14,0.771,NA
2016-10-15,0.914,NA
2016-10-16,2.917,NA
2016-10-17,3.518,NA
2016-10-18,11.207,NA
2016-10-19,7.863,NA
2016-10-20,4.190,NA
2016-10-21,2.457,NA
2016-10-22,2.038,NA
